name,section,name_desc
_lwp_unpark_all,2,"resume execution of a waiting light weight process"
munmap,2,"remove a mapping"
munmap,2,"remove a memory mapping"
flock,2,"apply or remove an advisory lock on an open file"
flock,2,"lock an open file"
flock,2,"remove lock an open file"
getcontext,2,"get and set current user context"
lfs_markv,2,"rewrite disk blocks to new disk locations"
siginfo,2,"signal information"
siginfo,2,"information related to signals"
getdents,2,"get directory entries in a filesystem independent format"
getdents,2,"get directory entries"
arm_drain_writebuf,2,"drains the CPU write buffer"
lseek,2,"reposition read/write file offset"
setpgid,2,"set process group"
setpgid,2,"set process group id"
mknod,2,"make a special file node"
nfssvc,2,"NFS services"
_lwp_getname,2,"get descriptive name of an LWP"
_lwp_getname,2,"get descriptive name of a light weight process"
msgrcv,2,"receive a message from a message queue"
msgrcv,2,"receive a message"
select,2,"synchronous I/O multiplexing"
mprotect,2,"control the protection of pages"
readlink,2,"read value of a symbolic link"
readlink,2,"read a symbolic link"
getsockname,2,"get socket name"
chroot,2,"change root directory"
setreuid,2,"set real and effective user ID's"
adjtime,2,"correct the time to allow synchronization of the system clock"
profil,2,"control process profiling"
timer_create,2,"create a per-process timer"
timer_create,2,"create a timer"
getrusage,2,"get information about resource utilization"
getrusage,2,"get resource utilization"
mkdir,2,"make a directory file"
mkdir,2,"make a directory"
getgroups,2,"get group access list"
semctl,2,"semaphore control operations"
i386_iopl,2,"change the i386 I/O privilege level"
i386_get_mtrr,2,"access Memory Type Range Registers"
chdir,2,"change current working directory"
chdir,2,"change directory"
issetugid,2,"is current process tainted by uid or gid changes"
setsid,2,"create session and set process group ID"
ioctl,2,"control device"
getpgrp,2,"get process group"
getpgrp,2,"obtain process group"
getpgrp,2,"retrive process group"
getpgrp,2,"get group of a process"
sigstack,2,"set and/or get signal stack context"
sigstack,2,"set signal stack context"
sigstack,2,"get signal stack context"
kqueue,2,"kernel event notification mechanism"
getitimer,2,"get/set value of interval timer"
setuid,2,"set user and group ID"
minherit,2,"control the inheritance of pages"
getsockopt,2,"get and set options on sockets"
fdatasync,2,"synchronize the data of a file"
__quotactl,2,"manipulate file system quotas"
statvfs,2,"get file system statistics"
poll,2,"synchronous I/O multiplexing"
clone,2,"spawn new process with options"
acct,2,"enable or disable process accounting"
lfs_segwait,2,"wait until a segment is written"
mkfifo,2,"make a fifo file"
getpid,2,"get parent or calling process identification"
_lwp_exit,2,"terminate the calling light-weight process"
_lwp_detach,2,"detach a light-weight process"
x86_64_iopl,2,"change the x86_64 I/O privilege level"
_lwp_park,2,"wait interruptably in the kernel"
i386_get_ldt,2,"manage i386 per-process Local Descriptor Table entries"
ntp_adjtime,2,"Network Time Protocol (NTP) daemon interface system calls"
brk,2,"change data segment size"
send,2,"send a message from a socket"
chown,2,"change owner and group of a file"
clock_settime,2,"clock and timer functions"
sigsuspend,2,"atomically release blocked signals and wait for interrupt"
_lwp_self,2,"get light-weight process identification"
_lwp_suspend,2,"suspend or continue a light-weight process"
setgroups,2,"set group access list"
symlink,2,"make symbolic link to a file"
sigqueue,2,"queue a signal to a process (REALTIME)"
getsid,2,"get session ID"
getfh,2,"get file handle"
close,2,"delete a descriptor"
modctl,2,"module control"
_lwp_wait,2,"wait for light-weight process termination"
getgid,2,"get group process identification"
read,2,"read input"
dup,2,"duplicate an existing file descriptor"
fhopen,2,"access file via file handle"
i386_pmc_info,2,"interface to CPU performance counters"
msgget,2,"get message queue identifier"
sigprocmask,2,"manipulate current signal mask"
extattr_get_fd,2,"system calls to manipulate VFS extended attributes"
getuid,2,"get user identification"
truncate,2,"truncate a file to a specified length"
timer_settime,2,"process timer manipulation"
sigpending,2,"get pending signals"
swapctl,2,"modify swap configuration"
undelete,2,"remove whiteout"
chmod,2,"change mode of file"
connect,2,"initiate a connection on a socket"
shmat,2,"map/unmap shared memory"
rasctl,2,"restartable atomic sequences"
sigtimedwait,2,"wait for queued signals"
syscall,2,"indirect system call"
_lwp_ctl,2,"prepare per-LWP communication area between kernel and userland"
recv,2,"receive a message from a socket"
uuidgen,2,"generate universally unique identifiers"
utimes,2,"set file access and modification times"
stat,2,"get file status"
write,2,"write output"
pmc_control,2,"Hardware Performance Monitoring Interface"
timer_delete,2,"delete a per-process timer"
accept,2,"accept a connection on a socket"
mincore,2,"determine residency of memory pages"
open,2,"open or create a file for reading or writing"
mlockall,2,"lock (unlock) the address space of a process"
chflags,2,"set file flags"
nanosleep,2,"high resolution sleep"
setregid,2,"set real and effective group ID's"
semget,2,"get set of semaphores"
_lwp_getprivate,2,"get and set light-weight process private data"
mount,2,"mount or dismount a file system"
getpriority,2,"get/set program scheduling priority"
x86_64_get_mtrr,2,"access Memory Type Range Registers"
revoke,2,"revoke file access"
intro,2,"introduction to system calls and error numbers"
unlink,2,"remove directory entry"
shmget,2,"get shared memory segment"
getrlimit,2,"control maximum system resource consumption"
sync,2,"synchronize disk block in-core status with that on disk"
getlogin,2,"get/set login name"
fsync,2,"synchronize a file's in-core state with that on disk"
access,2,"check access permissions of a file or pathname"
link,8,"call the link function"
setnetbootinfo,8,"configure Alpha network bootstrap program"
boot,8,"Alpha system bootstrapping procedures"
mkbootimage,8,"turn Alpha bootstrap programs into bootable images"
eeprom,8,"display or modify contents of the EEPROM or openprom"
userdel,8,"remove a user from the system"
traceroute6,8,"print the route IPv6 packets will take to the destination"
newfs_sysvbfs,8,"construct a new System V Boot File System"
pam_ksu,8,"Kerberos 5 SU PAM module"
kerberos,8,"introduction to the Kerberos system"
discard,8,"Postfix discard mail delivery agent"
makefs,8,"create a file system image from a directory tree"
schedctl,8,"control scheduling of processes and threads"
mount_msdos,8,"mount an MS-DOS file system"
mdsetimage,8,"set kernel RAM disk image"
perfused,8,"PUFFS Enabled Relay to FUSE Daemon"
locate.updatedb,8,"update locate database"
atrun,8,"run jobs queued for later execution"
kimpersonate,8,"impersonate a user when there exist a srvtab, keyfile or KeyFile"
mscdlabel,8,"generate disk label from CD track information"
bootpef,8,"BOOTP Extension File compiler"
dnssec-verify,8,"DNSSEC zone verification tool"
named,8,"Internet domain name server"
extattrctl,8,"manage UFS1 extended attributes"
mount_cd9660,8,"mount an ISO-9660 filesystem"
veriexecgen,8,"generate fingerprints for Veriexec"
ccdconfig,8,"configuration utility for the concatenated disk driver"
ipfs,8,"saves and restores information for NAT and state tables."
rip6query,8,"RIPng debugging tool"
boot,8,"system bootstrapping procedures"
pcictl,8,"a program to manipulate the PCI bus"
wpa_cli,8,"text-based frontend program for interacting with wpa_supplicant"
cleanup,8,"canonicalize and enqueue Postfix message"
lpc,8,"line printer control program"
ntpd,8,"NTP daemon program"
sshd,8,"OpenSSH SSH daemon"
iasl,8,"Intel ASL compiler and disassembler iASL"
mount_ntfs,8,"mount an NTFS file system"
ipmon,8,"monitors /dev/ipl for logged packets"
vgremove,8,"remove a volume group"
mount_smbfs,8,"mount a shared resource from an SMB/CIFS file server"
dhcrelay,8,"Dynamic Host Configuration Protocol Relay Agent"
amrctl,8,"Control utility for AMI MegaRaid controllers"
hostapd_cli,8,"text-based frontend program for interacting with hostapd(8)"
getty,8,"set terminal modes for system access"
mount_lfs,8,"mount a log-structured file system"
rshd,8,"remote shell server"
tcpdump,8,"dump traffic on a network"
wdogctl,8,"Watchdog timer control utility"
mount_procfs,8,"mount the process file system"
kdc,8,"Kerberos 5 server"
ipfstat,8,"reports on packet filter statistics and filter list"
ntptime,8,"read kernel time variables"
makemandb,8,"parse the manual pages and build a search index for apropos(1)"
groupadd,8,"add a group to the system"
rump_v7fs,8,"mount a v7fs image with a userspace server"
vgchange,8,"change attributes of a volume group"
quotacheck,8,"filesystem quota consistency checker"
powerd,8,"power management daemon for sysmon"
mount_puffs,8,"print arguments to puffs mounts"
kadmind,8,"server for administrative access to Kerberos database"
pam_group,8,"Group PAM module"
iscsid,8,"interface to kernel iSCSI driver"
bootpref,8,"set NVRAM boot preference"
boot,8,"system bootstrapping procedures"
binpatch,8,"examine and or modify initialized data in an executable binary"
installboot,8,"install a bootstrap on an FFS filesystem partition"
ahdilabel,8,"modify AHDI partitions"
eshconfig,8,"configure Essential Communications' HIPPI network interface"
stdethers,8,"a NIS filter program"
dhcpd,8,"Dynamic Host Configuration Protocol Server"
pam_guest,8,"Guest PAM module"
fsck_ffs,8,"Fast File System consistency check and interactive repair"
identd,8,"TCP/IP Ident protocol server"
comsat,8,"biff server"
lvconvert,8,"convert a logical volume from linear to mirror or snapshot"
wlanctl,8,"examine IEEE 802.11 wireless LAN client/peer table"
lvmchange,8,"change attributes of the logical volume manager"
cvsbug,8,"send problem report (PR) about CVS to a central support site"
altboot,8,"program to boot kernel from disk or network"
fwctl,8,"IEEE1394 control utility"
pwd_mkdb,8,"generate the password databases"
wire-test,8,"test your network interfaces and local IP address"
rlogind,8,"remote login server"
spray,8,"send many packets to host"
pdisk,8,"Apple partition table editor"
virtual,8,"Postfix virtual domain mail delivery agent"
vgmknodes,8,"recreate volume group directory and logical volume special files"
sysctl,8,"get or set kernel state"
boot,8,"sgimips system bootstrapping procedures"
/usr/mdec/sgivol,8,"configure SGI Volume Header"
lvreduce,8,"reduce the size of a logical volume"
compat_freebsd,8,"setup procedure for running FreeBSD binaries"
mount_tmpfs,8,"mount an efficient memory file system"
groupmod,8,"modify an existing group on the system"
chroot,8,"change root directory"
mlxctl,8,"Mylex DAC960 family management utility"
mail.local,8,"store mail in a mailbox"
pam_self,8,"Self PAM module"
disklabel,8,"read and write disk pack label"
wsconsctl,8,"get or set wscons state"
fsinfo,8,"coordinate site-wide filesystem information"
nsec3hash,8,"generate NSEC3 hash"
bootmini2440,8,"bootloader for FriendlyARM MINI2440 evaluation board"
sbtool,8,"manipulate sb files"
elftosb,8,"generate secure boot images for Freescale processors"
sbkeygen,8,"generate keys for use with elftosb(8) and sbtool(8)"
pppdump,8,"convert PPP record file to readable format"
init,8,"process control initialization"
apm,8,"Advanced Power Management control program"
proxymap,8,"Postfix lookup table proxy server"
yppush,8,"force distribution of NIS map"
resize_ffs,8,"resize a file system on disk or in a file"
lpd,8,"line printer spooler daemon"
routed,8,"network RIP and router discovery routing daemon"
ipf,8,"alters packet filtering lists for IP packet input and output"
boot,8,"system bootstrapping procedures"
route,8,"manually manipulate the routing tables"
ifmcstat,8,"dump multicast group management statistics per interface"
ntptrace,8,"trace a chain of NTP servers back to the primary source"
iteconfig,8,"modify console attributes at run time"
mk-amd-map,8,"create database maps for Amd"
smtpd,8,"Postfix SMTP server"
smtp,8,"Postfix SMTP+LMTP client"
svhlabel,8,"update disk label from SGI Volume Header"
iopctl,8,"a program to control IOP devices"
modload,8,"load a kernel module"
vgsplit,8,"split a volume group into two"
boot,8,"system bootstrapping procedures"
format,8,"how to format disk packs"
crash,8,"UNIX system failures"
drtest,8,"stand-alone disk test program"
btdevctl,8,"Bluetooth remote device control utility"
rump_ntfs,8,"mount a ntfs image with a userspace server"
authpf,8,"authenticating gateway user shell"
rpc.yppasswdd,8,"NIS update password file daemon"
dhclient-script,8,"DHCP client network configuration script"
rump_ffs,8,"mount a ffs image with a userspace server"
gpt,8,"GUID partition table maintenance utility"
qmgr,8,"Postfix queue manager"
vgscan,8,"scan all disks for volume groups and rebuild caches"
racoonctl,8,"racoon administrative control tool"
boot,8,"system bootstrapping procedures"
installboot,8,"install a bootstrap on a UFS disk"
rpcbind,8,"universal addresses to RPC program number mapper"
atactl,8,"a program to manipulate ATA (IDE) devices and busses"
iwictl,8,"configure Intel(R) PRO/Wireless 2200BG/2915ABG network adapters"
mount_union,8,"mount union filesystems"
sync,8,"force completion of pending disk writes (flush cache)"
bioctl,8,"RAID management interface"
ldconfig,8,"configure the a.out shared library cache"
trivial-rewrite,8,"Postfix address rewriting and resolving daemon"
rndc,8,"name server control utility"
modstat,8,"display status of loaded kernel modules"
kdigest,8,"userland tool to access digest interface in the KDC"
mount_udf,8,"mount an UDF file system"
pam_radius,8,"RADIUS PAM module"
gpioctl,8,"control GPIO devices"
pam_deny,8,"Deny PAM module"
wpa_passphrase,8,"Set WPA passphrase for a SSID"
sdpd,8,"Bluetooth Service Discovery Protocol daemon"
mount_nfs,8,"mount NFS file systems"
wsconscfg,8,"configure and switch between virtual terminals on a wscons display"
makedbm,8,"create a NIS database"
vgcfgbackup,8,"backup volume group descriptor area"
ypxfr,8,"get a NIS map from NIS server"
newfs_ext2fs,8,"construct a new ext2 file system"
lvdisplay,8,"display attributes of a logical volume"
pam_lastlog,8,"login accounting PAM module"
grfconfig,8,"alter grf device screen mode definitions at run time"
boot,8,"system bootstrapping procedures"
binpatch,8,"examine and or modify initialized data in a binary file"
installboot,8,"install a bootstrap on an FFS filesystem partition"
mount_chfs,8,"mount a CHFS flash file system"
rump_msdos,8,"mount a msdos image with a userspace server"
mount_9p,8,"mount a file server using the 9P resource sharing protocol"
tcpdmatch,8,"tcp wrapper oracle"
mdconfig,8,"configure MEMORY disks"
boot,8,"system bootstrapping procedures"
dnssec-keyfromlabel,8,"DNSSEC key generation tool"
route6d,8,"RIP6 routing daemon"
vgs,8,"report information about volume groups"
boot,8,"system bootstrapping procedures"
format,8,"how to format disks and tapes"
crash,8,"UNIX system failures"
flush,8,"Postfix fast flush server"
netgroup_mkdb,8,"generate the netgroup database"
dnssec-importkey,8,"Import DNSKEY records from external systems so they can be managed."
mknetid,8,"a NIS filter program"
afterboot,8,"things to check after the first complete boot"
lvscan,8,"scan (all disks) for logical volumes"
vgmerge,8,"merge two volume groups"
revnetgroup,8,"generate reverse netgroup data"
rump_syspuffs,8,"mount a puffs file server with a userspace puffs loop"
dkctl,8,"program to manipulate disks"
stdhosts,8,"a NIS filter program"
moused,8,"pass mouse data to mouse mux"
rdate,8,"set the system's date from a remote host"
diskless,8,"booting a system over the network"
ypserv,8,"NIS server daemon"
boot,8,"system bootstrapping procedures"
lvmdiskscan,8,"scan for all devices visible to LVM2"
renice,8,"alter priority of running processes"
getencstat,8,"get SCSI Environmental Services Device enclosure status"
cpuctl,8,"program to control CPUs"
dump_lfs,8,"filesystem backup"
chown,8,"change file owner and group"
resolvconf,8,"a framework for managing multiple DNS configurations"
dmesg,8,"display the system message buffer"
umount,8,"unmount filesystems"
npfctl,8,"control NPF packet filter"
mbrlabel,8,"update disk label from MBR label(s)"
ac,8,"display connect time accounting"
ndiscvt,8,"convert Windows NDIS drivers for use with"
rndctl,8,"in-kernel random number generator management tool"
wizd,8,"automatically correct typographical errors in man pages"
zic,8,"time zone compiler"
vgdisplay,8,"display attributes of volume groups"
sysinst,8,"install or upgrade a NetBSD system"
fsck_ext2fs,8,"ext2 File System consistency check and interactive repair"
bthcid,8,"Bluetooth Link Key/PIN Code Manager"
pam_chroot,8,"Chroot PAM module"
postscreen,8,"Postfix zombie blocker"
boot,8,"system bootstrapping procedures"
rtadvd,8,"router advertisement daemon"
devpubd,8,"device publish daemon for automatic device node creation"
boot26,8,"Bootloader for /acorn26"
ktutil,8,"manage Kerberos keytabs"
fsck,8,"file system consistency check and interactive repair"
rmt,8,"remote magtape protocol module"
hostapd,8,"authenticator for IEEE 802.11 networks"
mopd,8,"Maintenance Operations Protocol (MOP) Loader Daemon"
mount_sysvbfs,8,"mount a System V Boot File System"
arp,8,"address resolution display and control"
bootptest,8,"send BOOTP queries and print responses"
ssh-keysign,8,"ssh helper program for host-based authentication"
chat,8,"Automated conversational script with a modem"
shutdown,8,"close down the system at a given time"
ssh-pkcs11-helper,8,"ssh-agent helper program for PKCS#11 support"
boot,8,"system bootstrapping procedures"
rtquery,8,"query routing daemons for their routing tables"
yppoll,8,"ask version of NIS map from NIS server"
rump_tmpfs,8,"mount a tmpfs fictional fs with a userspace server"
boot,8,"system bootstrapping procedures"
pbsdboot,8,"load and boot NetBSD/hpcmips kernel from Windows CE"
envstat,8,"utility to handle environmental sensors"
tftpd,8,"DARPA Internet Trivial File Transfer Protocol server"
wsmuxctl,8,"configure wsmuxes"
tpctl,8,"touch panel calibration utility"
rcorder,8,"print a dependency ordering of interdependent files"
ypinit,8,"initialize NIS subsystem"
mount_null,8,"mount a loopback filesystem sub-tree; demonstrate the use of a null file system layer"
anvil,8,"Postfix session count and request rate control"
ndp,8,"control/diagnose IPv6 neighbor discovery protocol"
ippool,8,"user interface to the IPFilter pools"
isibootd,8,"TRFS based network boot server"
mount_hfs,8,"mount an Apple HFS+ File System"
quot,8,"display disk space occupied by each user"
pfs,8,"save and restore information for NAT and state tables"
lwresd,8,"lightweight resolver daemon"
traceroute,8,"print the route packets take to network host"
setencstat,8,"set SCSI Environmental Services Device enclosure status"
dnssec-dsfromkey,8,"DNSSEC DS RR generation tool"
named-checkconf,8,"named configuration file syntax checking tool"
pppoectl,8,"display or set parameters for an pppoe or isdn ppp (ippp) interface"
verify,8,"Postfix address verification server"
telnetd,8,"DARPA TELNET protocol server"
error,8,"Postfix error/retry mail delivery agent"
groupinfo,8,"displays group information"
pflogd,8,"packet filter logging daemon"
boot,8,"hppa system bootstrapping procedures"
mkboot,8,"create LIF files"
rump_cd9660,8,"mount a cd9660 image with a userspace server"
pvs,8,"report information about physical volumes"
pickup,8,"Postfix local mail pickup"
bad144,8,"read/write DEC standard 144 bad sector information"
mailwrapper,8,"invoke appropriate MTA software based on configuration file"
rndc-confgen,8,"rndc key generation tool"
nfsd,8,"remote NFS server"
userinfo,8,"displays user information"
dbsym,8,"copy kernel symbol table into db_symtab space"
lvrename,8,"rename a logical volume"
iscsictl,8,"program to manage iSCSI instances"
newbtconf,8,"multiple boot-up configurations"
verify_krb5_conf,8,"checks krb5.conf for obvious errors"
flashctl,8,"a program to manipulate flash devices"
lvchange,8,"change attributes of a logical volume"
mount_sysctlfs,8,"mount sysctl namespace as a directory hierarchy"
mount_kernfs,8,"mount the /kern file system"
newfs_v7fs,8,"construct a new 7th Edition(V7) File System"
resize_lfs,8,"resize a mounted log-structured filesystem"
groupdel,8,"remove a group from the system"
ntpdate,8,"set the date and time via NTP"
pam_exec,8,"Exec PAM module"
useradd,8,"add a user to the system"
lvresize,8,"resize a logical volume"
pvscan,8,"scan all disks for physical volumes"
ddns-confgen,8,"ddns key generation tool"
tlsproxy,8,"Postfix TLS proxy"
installboot,8,"install disk bootstrap software"
savecore,8,"save a core dump of the operating system"
rwhod,8,"system status server"
clri,8,"clear an inode"
dnssec-signzone,8,"DNSSEC zone signing tool"
strfile,8,"create a random access file for storing strings"
yptest,8,"calls different NIS routines"
pvchange,8,"change attributes of a physical volume"
rpcinfo,8,"report RPC information"
boot,8,"system bootstrapping procedures"
mkbootimage,8,"create a prep boot image"
vgconvert,8,"convert volume group metadata format"
tftp-proxy,8,"Internet Trivial File Transfer Protocol proxy"
isdntel,8,"isdn4bsd telephone answering management utility"
update-binfmts,8,"maintain registry of executable binary formats"
mknod,8,"make device special file"
lvcreate,8,"create a logical volume in an existing volume group"
rpc.sprayd,8,"spray server"
mld6query,8,"send multicast listener query"
dhcpcd,8,"a DHCP client"
iscsi-target,8,"service remote iSCSI requests"
racoon,8,"IKE (ISAKMP/Oakley) key management daemon"
iprop-log,8,"maintain the iprop log file"
tcpdrop,8,"drop a TCP connection"
fsck_msdos,8,"DOS/Windows (FAT) filesystem consistency checker"
vgextend,8,"add physical volumes to a volume group"
sliplogin,8,"attach a serial line network interface"
dumpfs,8,"dump file system information"
makekey,8,"make encrypted keys or passwords"
lmcconfig,8,"configuration program for LMC (and some SBE ) wide-area network interface cards"
reboot,8,"restarting, powering down and stopping the system"
ypbind,8,"create and maintain a binding to a NIS server"
brconfig,8,"configure network bridge parameters"
pvcreate,8,"initialize a disk or partition for use by LVM"
mount,8,"mount file systems"
fsck_lfs,8,"Log-structured File System consistency check and interactive repair"
mtrace,8,"print multicast path from a source to a receiver"
rpc.rquotad,8,"remote quota server"
pppstats,8,"print PPP statistics"
fsck_v7fs,8,"7th Edition(V7) filesystem consistency checker"
dnssec-keygen,8,"DNSSEC key generation tool"
pipe,8,"Postfix delivery to external command"
intro,8,"introduction to system maintenance procedures and commands"
ifconfig,8,"configure network interface parameters"
nologin,8,"politely refuse a login"
boot,8,"system bootstrapping procedures"
mtree,8,"map a directory hierarchy"
accton,8,"enable/disable system accounting"
dhcpcd-run-hooks,8,"DHCP client configuration script"
group,8,"manage group information on the system"
amldb,8,"executing and debugging AML interpreter (with DSDT files)"
hpropd,8,"receive a propagated database"
rump_sysvbfs,8,"mount a sysvbfs image with a userspace server"
ping6,8,"send ICMPv6 ECHO_REQUEST packets to network hosts"
setkey,8,"manually manipulate the IPsec SA/SP database"
pvmove,8,"move physical extents"
timed,8,"time server daemon"
wsmoused,8,"multipurpose mouse daemon"
boot,8,"system bootstrapping procedures"
newdisk,8,"Prepare a new disk to be usable for X680x0"
memswitch,8,"get or set x68k memory switch"
loadbsd,8,"load and boot NetBSD/x68k kernel from Human68k"
dnssec-settime,8,"Set the key timing metadata for a DNSSEC key"
rpc.rstatd,8,"kernel statistics server"
map-mbone,8,"Multicast connection mapper"
etcupdate,8,"update the configuration and startup files in /etc"
MAKEDEV.local,8,"create site-specific device special files"
mount_v7fs,8,"mount a 7th Edition(V7) File System"
sftp-server,8,"SFTP server subsystem"
repquota,8,"summarize quotas for a file system"
mount_ptyfs,8,"mount the /dev/pts file system"
amd,8,"automatically mount file systems"
oqmgr,8,"old Postfix queue manager"
vgexport,8,"make volume groups unknown to the system"
mount_efs,8,"mount an SGI EFS file system"
setobjstat,8,"set SCSI Environmental Services Device object status"
tprof,8,"record tprof profiling samples"
zdump,8,"time zone dumper"
mrinfo,8,"Displays configuration info from a multicast router"
fingerd,8,"remote user information server"
modunload,8,"unload a kernel module"
boot,8,"system bootstrapping procedures"
ntpq,8,"standard NTP query program"
rump_hfs,8,"mount a hfs image with a userspace server"
tlsmgr,8,"Postfix TLS session cache and PRNG manager"
sti,8,"Simulate Terminal Input: send characters to a tty device"
usbdevs,8,"show USB devices connected to the system"
compat_osf1,8,"setup procedure for running OSF/1 binaries"
pppd,8,"Point-to-Point Protocol Daemon"
blacklistctl,8,"display and change the state of blacklistd"
veriexecctl,8,"manage the Veriexec subsystem"
mount_ffs,8,"mount a Berkeley Fast File System"
compat_netbsd32,8,"setup procedure for 32-bit compatibility on 64-bit platforms"
quotaon,8,"turn filesystem quotas on and off"
bozohttpd,8,"hyper text transfer protocol version 1.1 daemon"
pam_afslog,8,"AFS credentials PAM module"
mount_fdesc,8,"mount the file-descriptor file system"
scan_ffs,8,"find FFSv1/FFSv2/LFS partitions on a disk or file"
compat_30,8,"setup procedure for backward compatibility on post-3.0 releases"
newfs_udf,8,"construct a new UDF file system"
lvs,8,"report information about logical volumes"
showmount,8,"show remote NFS mounts on host"
unlink,8,"call the unlink function"
named-journalprint,8,"print zone journal in human-readable form"
dev_mkdb,8,"create /dev database"
boot,8,"system bootstrapping procedures"
boot_console,8,"selection of a console device in the x86 bootloader"
multiboot,8,"procedure for booting NetBSD/x86 from a Multiboot-compliant boot loader"
pxeboot,8,"network boot NetBSD/x86 through a PXE BIOS extension"
dosboot,8,"boot NetBSD/x86 from DOS"
mbr,8,"Master Boot Record bootcode"
pam_skey,8,"S/Key PAM module"
mmcformat,8,"format optical media"
slattach,8,"attach serial lines as network interfaces"
apmd,8,"Advanced Power Management monitor daemon"
pstat,8,"display system data structures"
tbrconfig,8,"configure a token bucket regulator for an output queue"
isdnmonitor,8,"isdn4bsd / isdnd remote monitoring tool"
ftp-proxy,8,"Internet File Transfer Protocol proxy daemon"
nbfs,8,"NetBSD boot filing system for RISC OS"
boot32,8,"Bootloader for /acorn32"
boot,8,"system bootstrapping procedures"
tadpolectl,8,"get or set tadpole microcontroller state"
/usr/mdec/binstall,8,"install sparc and sparc64 boot blocks"
blacklistd,8,"block and release ports on demand to avoid DoS abuse"
nslookup,8,"query Internet name servers interactively"
mount_filecore,8,"mount a FILECORE file system"
mount_mfs,8,"mount a memory based file system"
isdntrace,8,"isdn4bsd ISDN protocol trace utility"
services_mkdb,8,"generate the services databases"
isdntelctl,8,"control isdn4bsd telephone sound format conversion"
utmp_update,8,"update utmpx database"
revoke,8,"call revoke(2)"
ypset,8,"tell ypbind(8) which NIS server process to use"
spawn,8,"Postfix external command spawner"
btattach,8,"attach serial lines as Bluetooth HCI interfaces"
scsictl,8,"a program to manipulate SCSI devices and busses"
quotarestore,8,"restore dumped quota information to a file system volume"
pam_login_access,8,"login.access PAM module"
isdnd,8,"isdn4bsd ISDN connection management daemon"
cgdconfig,8,"configuration utility for the cryptographic disk driver"
vgcfgrestore,8,"restore volume group descriptor area"
hdaudioctl,8,"program to manipulate hdaudio(4) devices"
